Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),Seat Capacity,Female Supernumerary
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",MADHYA PRADESH,Gender-Neutral,8,1,2,0,2,0,2,0,5,1,21,21,5
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",Other than MADHYA PRADESH,Gender-Neutral,8,0,2,0,3,1,2,0,5,0,21,21,5
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",MADHYA PRADESH,Gender-Neutral,16,0,3,0,6,0,2,1,11,1,40,40,10
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",Other than MADHYA PRADESH,Gender-Neutral,15,1,4,1,5,1,3,0,10,0,40,40,10
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",MADHYA PRADESH,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,12,3
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",Other than MADHYA PRADESH,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,12,3
Maulana Azad National Institute of Technology Bhopal,"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",MADHYA PRADESH,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,12,3
Maulana Azad National Institute of Technology Bhopal,"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",Other than MADHYA PRADESH,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,12,3
Motilal Nehru National Institute of Technology Allahabad,"Bio Technology (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,9,0,2,0,3,1,2,0,7,0,24,28,2
Motilal Nehru National Institute of Technology Allahabad,"Bio Technology (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,10,0,2,0,3,0,2,0,6,1,24,29,1
Motilal Nehru National Institute of Technology Allahabad,"Chemical Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,9,1,2,0,3,0,2,0,7,0,24,29,1
Motilal Nehru National Institute of Technology Allahabad,"Chemical Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,9,1,1,1,3,0,2,0,7,0,24,28,2
Motilal Nehru National Institute of Technology Allahabad,"Civil Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,18,1,5,0,7,0,4,0,12,1,48,57,3
Motilal Nehru National Institute of Technology Allahabad,"Civil Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,19,1,4,1,7,0,4,0,13,0,49,58,3
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,50,2,13,0,18,1,9,1,34,2,130,154,9
Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,51,2,13,0,19,1,9,1,32,2,130,154,8
Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,16,1,4,0,6,0,3,0,10,1,41,48,3
Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,15,1,4,0,6,0,3,0,11,1,41,49,3
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,28,1,7,0,11,0,5,1,19,1,73,87,4
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,28,1,7,0,12,0,5,0,19,1,73,86,5
Motilal Nehru National Institute of Technology Allahabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,25,1,6,1,9,0,4,1,17,1,65,77,5
Motilal Nehru National Institute of Technology Allahabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,25,1,6,0,9,1,5,0,17,1,65,77,4
Motilal Nehru National Institute of Technology Allahabad,"Materials Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,15,0
Motilal Nehru National Institute of Technology Allahabad,"Materials Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,15,0
Motilal Nehru National Institute of Technology Allahabad,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,8,1,2,0,4,0,2,0,7,0,24,29,1
Motilal Nehru National Institute of Technology Allahabad,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,9,1,2,0,3,0,1,0,8,0,24,28,2
Motilal Nehru National Institute of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",UTTAR PRADESH,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,15,0
Motilal Nehru National Institute of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",Other than UTTAR PRADESH,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,15,0
National Institute of Technology  Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,10,1,1,0,3,0,8,0,0,0,23,23,7
National Institute of Technology  Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,10,0,2,0,3,0,2,0,5,1,23,23,7
National Institute of Technology  Agartala,"Chemical Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,14,1,4,0,6,1,10,1,0,0,37,37,8
National Institute of Technology  Agartala,"Chemical Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,14,0,4,0,6,0,1,1,9,1,36,36,9
National Institute of Technology  Agartala,"Civil Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,17,2,5,0,7,1,15,0,0,0,47,47,13
National Institute of Technology  Agartala,"Civil Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,16,2,5,0,7,0,4,0,12,1,47,47,13
National Institute of Technology  Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,29,2,7,0,11,1,21,2,0,0,73,73,17
National Institute of Technology  Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,30,0,6,0,7,2,6,0,19,1,71,71,19
National Institute of Technology  Agartala,"Electrical Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,18,2,5,0,6,0,14,1,0,0,46,46,14
National Institute of Technology  Agartala,"Electrical Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,15,2,6,0,7,0,4,0,12,1,47,47,13
National Institute of Technology  Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,18,1,5,0,7,0,12,2,0,0,45,45,15
National Institute of Technology  Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,17,1,5,0,7,1,2,1,13,0,47,47,13
National Institute of Technology  Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,19,1,5,0,6,1,14,0,0,0,46,46,14
National Institute of Technology  Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,17,2,4,0,7,0,3,0,13,1,47,47,13
National Institute of Technology  Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,14,1,4,0,5,1,10,0,0,0,35,35,10
National Institute of Technology  Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,12,2,3,0,6,0,2,1,10,0,36,36,9
National Institute of Technology  Agartala,"Production Engineering (4 Years, Bachelor of Technology)",TRIPURA,Gender-Neutral,12,2,3,0,4,0,12,0,0,0,33,33,12
National Institute of Technology  Agartala,"Production Engineering (4 Years, Bachelor of Technology)",Other than TRIPURA,Gender-Neutral,14,0,4,0,1,1,3,1,9,0,33,33,12
National Institute of Technology  Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",TRIPURA,Gender-Neutral,5,0,2,0,1,0,3,1,0,0,12,12,0
National Institute of Technology  Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",Other than TRIPURA,Gender-Neutral,5,0,1,1,2,0,1,0,3,0,13,13,0
National Institute of Technology  Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",TRIPURA,Gender-Neutral,5,0,1,0,3,0,3,0,0,0,12,12,0
National Institute of Technology  Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",Other than TRIPURA,Gender-Neutral,5,0,0,1,2,0,1,0,4,0,13,13,0
National Institute of Technology  Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",TRIPURA,Gender-Neutral,8,1,2,0,3,0,6,0,0,0,20,20,0
National Institute of Technology  Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Other than TRIPURA,Gender-Neutral,7,1,2,0,3,0,2,0,5,0,20,20,0
National Institute of Technology  Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",TRIPURA,Gender-Neutral,6,1,3,0,4,0,6,0,0,0,20,20,0
National Institute of Technology  Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Other than TRIPURA,Gender-Neutral,7,1,2,0,3,0,2,0,5,0,20,20,0
National Institute of Technology  Agartala,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",TRIPURA,Gender-Neutral,8,1,1,0,4,0,6,0,0,0,20,20,0
National Institute of Technology  Agartala,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Other than TRIPURA,Gender-Neutral,8,0,1,1,3,0,1,0,6,0,20,20,0
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,19,0
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,5,1,1,0,2,0,1,0,3,1,14,18,0
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,18,1,4,0,6,1,3,0,12,1,46,58,0
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,18,0,5,0,7,0,3,1,12,0,46,58,0
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,27,1,7,0,10,0,4,1,18,1,69,86,0
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,27,1,6,1,10,1,5,0,17,1,69,86,0
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,28,1,6,1,9,1,5,1,18,1,71,86,3
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,28,1,7,0,11,0,5,0,18,1,71,86,3
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,27,1,7,1,10,0,4,0,18,1,69,86,0
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,27,1,6,0,10,1,5,1,17,1,69,86,1
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,5,1,2,0,2,0,1,0,4,0,15,19,0
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,6,0,1,0,1,1,1,0,4,0,14,18,0
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,15,0
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,15,0
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,31,2,8,1,11,1,6,0,21,1,82,86,16
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,32,1,8,0,12,1,6,0,21,1,82,86,17
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,27,1,7,1,10,0,5,0,17,1,69,86,0
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,26,2,6,0,10,1,5,0,18,1,69,86,0
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,9,0,3,0,3,0,1,0,6,1,23,29,0
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,30,0
National Institute of Technology Calicut,"Energy Engineering (4 Years, Bachelor of Technology)",KERALA,Gender-Neutral,6,0,2,0,3,0,1,0,4,0,16,20,0
National Institute of Technology Calicut,"Energy Engineering (4 Years, Bachelor of Technology)",Other than KERALA,Gender-Neutral,6,1,1,0,2,0,1,0,4,1,16,20,0
National Institute of Technology Calicut,"Architecture  (5 Years, Bachelor of Architecture)",KERALA,Gender-Neutral,9,0,3,0,4,0,1,0,6,1,24,30,0
National Institute of Technology Calicut,"Architecture  (5 Years, Bachelor of Architecture)",Other than KERALA,Gender-Neutral,9,1,2,0,3,0,2,0,6,0,23,29,0
National Institute of Technology Delhi,"Aerospace Engineering (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,4,0,0,0,1,0,1,0,3,0,9,12,0
National Institute of Technology Delhi,"Aerospace Engineering (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,4,0,0,1,1,0,1,0,3,0,10,12,0
National Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,4,0,1,0,1,0,1,0,3,0,10,13,0
National Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,4,0,0,0,2,0,1,0,3,0,10,12,0
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,18,1,5,0,6,1,3,1,13,0,48,60,0
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,19,0,4,1,7,0,3,0,14,0,48,60,0
National Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,9,0,3,0,3,1,2,0,6,0,24,30,0
National Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,9,1,2,0,3,0,2,0,6,1,24,30,0
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,9,0,3,0,3,1,2,0,6,0,24,30,0
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,9,1,2,0,3,0,2,0,7,0,24,30,0
National Institute of Technology Delhi,"VLSI Design and Technology (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,3,1,2,0,1,0,0,1,2,0,10,13,0
National Institute of Technology Delhi,"VLSI Design and Technology (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,4,0,0,0,2,0,1,0,3,0,10,12,0
National Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,6,0,2,0,3,0,1,0,3,1,16,20,0
National Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,6,1,2,0,2,0,1,0,4,0,16,20,0
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",DELHI (NCT),Gender-Neutral,3,0,1,0,1,0,1,0,2,0,8,10,0
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",Other than DELHI (NCT),Gender-Neutral,2,1,1,0,2,0,0,0,2,0,8,10,0
National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,11,1,3,0,5,0,2,0,8,0,30,38,0
National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,12,1,3,0,4,0,2,0,7,1,30,37,0
National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,12,1,2,0,4,0,2,0,7,1,29,37,0
National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,11,1,3,0,5,0,2,0,7,1,30,38,0
National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,13,1,3,0,4,0,2,0,8,0,31,40,0
National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,14,0,3,0,4,0,2,0,7,1,31,40,0
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,32,1,6,1,9,1,5,0,20,1,76,94,0
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,31,1,7,0,10,0,5,0,20,1,75,93,0
National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,17,1,4,0,5,0,2,0,11,0,40,50,0
National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,16,1,4,0,5,0,2,0,11,1,40,50,0
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,15,1,4,0,6,0,3,0,9,1,39,49,0
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,15,1,4,0,6,0,2,0,10,0,38,48,0
National Institute of Technology Durgapur,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,9,1,2,0,4,0,1,0,6,0,23,30,0
National Institute of Technology Durgapur,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,9,0,2,0,4,0,1,0,6,1,23,30,0
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,32,1,6,1,10,1,4,0,19,1,75,94,0
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,31,1,6,0,11,0,5,0,19,1,74,93,0
National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",WEST BENGAL,Gender-Neutral,10,1,3,0,5,0,1,1,9,0,30,37,0
National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Other than WEST BENGAL,Gender-Neutral,11,1,2,0,5,0,2,0,8,1,30,38,0
National Institute of Technology Durgapur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",WEST BENGAL,Gender-Neutral,2,0,0,0,1,0,0,0,1,0,4,4,0
National Institute of Technology Durgapur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Other than WEST BENGAL,Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,3,0
National Institute of Technology Durgapur,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",WEST BENGAL,Gender-Neutral,1,0,0,0,1,0,0,0,1,0,3,4,0
National Institute of Technology Durgapur,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",Other than WEST BENGAL,Gender-Neutral,2,0,0,0,0,0,1,0,0,0,3,3,0
National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science)",WEST BENGAL,Gender-Neutral,4,0,1,0,1,0,0,0,2,0,8,9,0
National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science)",Other than WEST BENGAL,Gender-Neutral,3,0,1,0,1,0,1,0,2,0,8,10,0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology)",GOA,Gender-Neutral,4,1,1,0,2,0,1,0,3,0,12,14,0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology)",DAMAN & DIU (UT),Gender-Neutral,1,0,0,0,1,0,0,0,1,0,3,4,0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology)",Other than GOA,Gender-Neutral,6,0,2,0,1,1,1,0,4,0,15,19,0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GOA,Gender-Neutral,6,0,1,0,2,1,2,0,4,0,16,20,0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",DAMAN & DIU (UT),Gender-Neutral,2,0,1,0,0,0,0,0,1,0,4,5,0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than GOA,Gender-Neutral,9,0,2,0,3,0,1,0,5,0,20,25,0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",GOA,Gender-Neutral,6,0,2,0,2,0,1,0,5,0,16,20,0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",DAMAN & DIU (UT),Gender-Neutral,2,0,0,0,1,0,0,0,1,0,4,5,0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than GOA,Gender-Neutral,7,1,2,0,3,0,2,0,5,0,20,25,0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GOA,Gender-Neutral,5,0,2,0,1,0,1,0,3,0,12,15,0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",DAMAN & DIU (UT),Gender-Neutral,1,0,0,0,1,0,0,0,0,1,3,4,0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than GOA,Gender-Neutral,6,0,0,1,2,0,1,0,4,0,14,18,0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",GOA,Gender-Neutral,6,1,1,0,3,0,1,0,4,0,16,20,0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",DAMAN & DIU (UT),Gender-Neutral,1,0,1,0,0,0,1,0,1,0,4,5,0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Other than GOA,Gender-Neutral,8,0,2,0,3,0,0,1,5,1,20,25,0
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,12,0,3,0,4,0,2,0,8,1,30,38,0
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,12,1,3,0,4,1,2,0,8,0,31,38,0
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,19,1,4,1,7,0,3,0,13,1,49,61,0
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,20,0,5,0,6,1,4,0,13,1,50,62,0
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,19,1,5,0,7,1,3,0,13,1,50,62,0
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,19,1,4,1,7,0,3,1,12,1,49,62,0
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,19,1,4,1,8,1,3,1,12,0,50,63,0
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,19,1,5,0,7,0,4,0,13,1,50,62,0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,18,1,5,0,7,0,3,1,11,1,47,58,0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,18,1,4,1,7,1,2,0,12,1,47,59,0
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,7,1,2,0,3,0,1,0,5,1,20,25,0
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,8,0,2,0,4,0,1,0,5,0,20,25,0
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,6,0,2,0,2,0,2,0,3,1,16,20,0
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,6,1,1,0,3,0,1,0,4,0,16,20,0
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,8,0,2,0,3,1,1,0,5,0,20,25,0
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,7,1,2,0,3,0,1,0,5,1,20,25,0
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",HIMACHAL PRADESH,Gender-Neutral,19,1,4,1,7,1,4,0,12,1,50,63,0
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Other than HIMACHAL PRADESH,Gender-Neutral,19,1,5,0,8,0,4,1,12,0,50,62,0
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",HIMACHAL PRADESH,Gender-Neutral,9,1,2,0,3,0,2,0,6,0,23,29,0
National Institute of Technology Hamirpur,"Architecture  (5 Years, Bachelor of Architecture)",Other than HIMACHAL PRADESH,Gender-Neutral,9,0,3,0,3,0,1,0,6,1,23,29,0
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",HIMACHAL PRADESH,Gender-Neutral,4,0,2,0,2,0,1,0,2,0,11,14,0
